customer_key,customer_number,customer_name,age,age_group,customer_segment,last_order_date,recency,total_orders,total_sales,total_quantity,lifespan,avg_order_value,avg_monthly_spend
2196,AW00013195,Aaron Perry,65,50 and above,New,09-04-2013,157,1,72,2,2,72,72
13948,AW00024947,Aaron Phillips,79,50 and above,New,02-06-2013,155,1,40,2,2,40,40
14242,AW00025241,Aaron Powell,61,50 and above,New,19-06-2013,154,1,5,1,1,5,5
8026,AW00019025,Aaron Roberts,68,50 and above,New,14-03-2013,157,1,120,2,2,120,120
889,AW00011888,Aaron Ross,56,50 and above,New,18-03-2013,157,1,2377,3,3,2377,2377
14600,AW00025599,Aaron Russell,45,40-49,New,11-12-2013,148,1,1174,2,2,1174,1174
5752,AW00016751,Aaron Scott,41,40-49,New,20-07-2013,153,1,2492,4,4,2492,2492
9731,AW00020730,Aaron Shan,49,40-49,New,03-06-2013,155,1,69,3,3,69,69
802,AW00011801,Aaron Sharma,51,50 and above,New,31-12-2013,148,2,87,3,3,43.5,87
2892,AW00013891,Aaron Simmons,53,50 and above,New,07-05-2013,156,1,86,2,2,86,86
1164,AW00012163,Aaron Wang,57,50 and above,VIP,04-03-2013,158,2,5944,4,4,2972,396.2667
13650,AW00024649,Aaron Washington,68,50 and above,New,04-06-2013,155,1,5,1,1,5,5
1651,AW00012650,Aaron Wright,70,50 and above,VIP,25-06-2013,154,4,10813,9,9,2703.25,540.65
14197,AW00025196,Aaron Yang,55,50 and above,New,06-11-2013,150,1,55,2,2,55,55
1051,AW00012050,Aaron Young,47,40-49,VIP,06-02-2013,159,2,6024,6,6,3012,430.2857
11769,AW00022768,Aaron Zhang,71,50 and above,New,19-04-2013,156,1,600,4,4,600,600
3801,AW00014800,Abby Arthur,55,50 and above,Regular,29-10-2013,150,2,4390,5,5,2195,175.6
9947,AW00020946,Abby Chandra,44,40-49,New,14-09-2013,151,1,59,2,2,59,59
206,AW00011205,Abby Fernandez,72,50 and above,New,08-10-2013,151,2,37,2,2,18.5,18.5
15949,AW00026948,Abby Garcia,50,50 and above,New,09-06-2013,155,1,1293,3,3,1293,1293
11481,AW00022480,Abby Gonzalez,54,50 and above,New,05-07-2013,154,1,617,5,5,617,617
18055,AW00029054,Abby Kapoor,76,50 and above,New,16-06-2013,154,1,751,2,2,751,751
14606,AW00025605,Abby Kovár,68,50 and above,New,13-01-2013,159,1,600,4,4,600,600
2445,AW00013444,Abby Lopez,58,50 and above,New,13-07-2013,153,1,57,2,2,57,57
8355,AW00019354,Abby Madan,43,40-49,New,30-11-2013,149,1,37,3,3,37,37
18334,AW00029333,Abby Martinez,83,50 and above,New,08-03-2013,158,1,55,2,2,55,55
11180,AW00022179,Abby Mehta,66,50 and above,New,15-06-2013,154,1,22,1,1,22,22
5030,AW00016029,Abby Patel,74,50 and above,New,06-12-2013,149,2,3807,3,3,1903.5,346.0909
5196,AW00016195,Abby Perez,47,40-49,New,22-05-2013,155,1,93,3,3,93,93
4123,AW00015122,Abby Raman,43,40-49,VIP,14-12-2013,148,3,5193,6,6,1731,370.9286
3535,AW00014534,Abby Rana,59,50 and above,New,04-11-2013,150,1,37,3,3,37,37
102,AW00011101,Abby Sai,55,50 and above,VIP,29-06-2013,154,3,8262,7,7,2754,317.7692
8967,AW00019966,Abby Sanchez,42,40-49,VIP,07-06-2013,155,2,6021,2,2,3010.5,301.05
1495,AW00012494,Abby Sandberg,50,50 and above,VIP,22-10-2013,150,2,5948,5,5,2974,220.2963
2257,AW00013256,Abby Subram,62,50 and above,VIP,25-12-2013,148,4,7494,13,12,1873.5,624.5
15508,AW00026507,Abhijit Thakur,66,50 and above,New,02-06-2013,155,1,27,2,2,27,27
13224,AW00024223,Abigail Alexander,41,40-49,New,06-04-2013,157,1,32,2,2,32,32
4250,AW00015249,Abigail Anderson,40,40-49,New,04-09-2013,152,1,46,2,2,46,46
16532,AW00027531,Abigail Bailey,51,50 and above,New,12-12-2012,160,1,2071,1,1,2071,2071
4904,AW00015903,Abigail Barnes,70,50 and above,New,05-06-2013,155,2,1373,5,5,686.5,228.8333
18216,AW00029215,Abigail Barnes,51,50 and above,New,09-01-2014,148,1,64,3,3,64,64
2915,AW00013914,Abigail Bell,56,50 and above,New,26-04-2013,156,1,72,2,2,72,72
17301,AW00028300,Abigail Bennett,65,50 and above,New,11-04-2013,156,1,2,1,1,2,2
812,AW00011811,Abigail Brooks,47,40-49,VIP,17-06-2013,154,2,5898,2,2,2949,294.9
11043,AW00022042,Abigail Bryant,42,40-49,New,18-03-2013,157,1,540,1,1,540,540
6390,AW00017389,Abigail Butler,48,40-49,New,05-06-2013,155,1,1779,3,3,1779,1779
1773,AW00012772,Abigail Clark,65,50 and above,VIP,20-08-2013,152,2,5913,4,4,2956.5,295.65
10485,AW00021484,Abigail Coleman,55,50 and above,New,09-10-2013,151,1,1120,1,1,1120,1120
12869,AW00023868,Abigail Coleman,50,50 and above,Regular,23-10-2013,150,2,4829,5,5,2414.5,209.9565
12875,AW00023874,Abigail Cook,48,40-49,New,30-10-2013,150,1,540,1,1,540,540
13330,AW00024329,Abigail Cooper,57,50 and above,New,20-12-2013,148,1,604,2,2,604,604
10276,AW00021275,Abigail Cox,40,40-49,New,16-10-2013,150,1,1151,4,4,1151,1151
7377,AW00018376,Abigail Diaz,58,50 and above,New,16-12-2013,148,1,2370,4,4,2370,2370
11642,AW00022641,Abigail Diaz,42,40-49,New,18-09-2013,151,1,589,4,4,589,589
12673,AW00023672,Abigail Flores,81,50 and above,New,08-06-2013,155,1,30,1,1,30,30
1106,AW00012105,Abigail Foster,71,50 and above,VIP,04-03-2013,158,2,5993,3,3,2996.5,374.5625
8824,AW00019823,Abigail Foster,55,50 and above,New,03-12-2013,149,1,46,2,2,46,46
3532,AW00014531,Abigail Garcia,58,50 and above,New,28-03-2013,157,2,191,7,7,95.5,191
17766,AW00028765,Abigail Gonzales,46,40-49,New,11-05-2011,179,1,3578,1,1,3578,3578
9334,AW00020333,Abigail Gonzales,58,50 and above,New,15-11-2013,149,1,70,1,1,70,70
8257,AW00019256,Abigail Griffin,60,50 and above,Regular,16-11-2013,149,2,2519,3,3,1259.5,125.95
17834,AW00028833,Abigail Harris,51,50 and above,New,10-06-2011,178,1,3578,1,1,3578,3578
9442,AW00020441,Abigail Henderson,41,40-49,New,25-08-2013,152,1,40,2,2,40,40
2514,AW00013513,Abigail Henderson,79,50 and above,VIP,04-12-2013,149,2,5918,4,4,2959,169.0857
1170,AW00012169,Abigail Howard,53,50 and above,VIP,18-03-2013,157,2,5948,5,5,2974,371.75
13765,AW00024764,Abigail Hughes,47,40-49,New,14-08-2013,152,1,2398,3,3,2398,2398
8123,AW00019122,Abigail Hughes,49,40-49,New,03-04-2013,157,1,589,4,4,589,589
13498,AW00024497,Abigail James,42,40-49,New,04-02-2013,159,1,72,3,3,72,72
4474,AW00015473,Abigail Jenkins,51,50 and above,Regular,30-11-2013,149,2,1552,2,2,776,86.2222
4937,AW00015936,Abigail Johnson,87,50 and above,New,01-11-2013,150,1,40,2,2,40,40
682,AW00011681,Abigail Jones,51,50 and above,New,25-11-2013,149,2,138,5,5,69,17.25
15610,AW00026609,Abigail Kelly,47,40-49,Regular,14-09-2013,151,2,4509,3,3,2254.5,322.0714
13931,AW00024930,Abigail Lewis,72,50 and above,New,12-02-2013,158,1,65,3,3,65,65
11348,AW00022347,Abigail Long,59,50 and above,New,18-09-2013,151,1,50,3,3,50,50
11889,AW00022888,Abigail Long,60,50 and above,New,26-04-2013,156,1,540,1,1,540,540
7676,AW00018675,Abigail Martin,50,50 and above,New,14-04-2013,156,1,129,3,3,129,129
5652,AW00016651,Abigail Martinez,77,50 and above,New,23-11-2013,149,1,14,2,2,14,14
4739,AW00015738,Abigail Miller,79,50 and above,New,16-12-2013,148,1,166,3,3,166,166
13432,AW00024431,Abigail Morgan,66,50 and above,Regular,12-05-2013,155,2,4334,4,4,2167,254.9412
17777,AW00028776,Abigail Morris,59,50 and above,New,15-07-2013,153,1,2,1,1,2,2
16467,AW00027466,Abigail Murphy,42,40-49,New,09-06-2013,155,1,67,3,3,67,67
9644,AW00020643,Abigail Patterson,86,50 and above,New,28-08-2013,152,1,15,2,2,15,15
3479,AW00014478,Abigail Patterson,60,50 and above,New,04-09-2013,152,2,4795,6,6,2397.5,2397.5
14858,AW00025857,Abigail Perry,76,50 and above,New,19-01-2011,183,1,3400,1,1,3400,3400
12449,AW00023448,Abigail Peterson,63,50 and above,New,16-11-2013,149,1,32,2,2,32,32
12795,AW00023794,Abigail Powell,65,50 and above,New,02-10-2013,151,1,1250,2,2,1250,1250
90,AW00011089,Abigail Price,63,50 and above,New,18-11-2013,149,2,3188,7,7,1594,318.8
4860,AW00015859,Abigail Ramirez,61,50 and above,New,06-10-2013,151,3,74,6,5,24.6667,14.8
10479,AW00021478,Abigail Reed,72,50 and above,New,13-10-2013,150,1,1155,2,2,1155,1155
3237,AW00014236,Abigail Richardson,44,40-49,VIP,26-10-2013,150,3,5710,7,7,1903.3333,439.2308
3718,AW00014717,Abigail Rivera,49,40-49,New,09-05-2013,156,2,114,5,5,57,114
7380,AW00018379,Abigail Robinson,53,50 and above,New,25-10-2013,150,1,2362,4,4,2362,2362
11302,AW00022301,Abigail Rodriguez,51,50 and above,New,06-02-2013,159,1,540,1,1,540,540
7816,AW00018815,Abigail Rogers,57,50 and above,New,20-09-2013,151,1,70,1,1,70,70
16451,AW00027450,Abigail Ross,53,50 and above,New,12-10-2013,150,2,4514,4,4,2257,451.4
9856,AW00020855,Abigail Ross,45,40-49,New,04-08-2013,153,1,1155,2,2,1155,1155
10827,AW00021826,Abigail Russell,65,50 and above,New,14-11-2013,149,1,13,2,2,13,13
17193,AW00028192,Abigail Sanchez,55,50 and above,New,21-10-2013,150,1,30,2,2,30,30
10702,AW00021701,Abigail Sanders,65,50 and above,New,08-06-2013,155,1,78,4,4,78,78
6618,AW00017617,Abigail Simmons,56,50 and above,New,07-08-2013,153,1,1755,2,2,1755,1755
7114,AW00018113,Abigail Simmons,69,50 and above,New,07-11-2013,150,1,2392,3,3,2392,2392
8406,AW00019405,Abigail Smith,54,50 and above,New,09-02-2013,159,1,1170,2,2,1170,1170
6268,AW00017267,Abigail Stewart,57,50 and above,New,09-11-2013,150,1,2355,2,2,2355,2355
13333,AW00024332,Abigail Thompson,57,50 and above,Regular,05-12-2013,149,2,4816,5,5,2408,200.6667
14368,AW00025367,Abigail Torres,61,50 and above,New,29-12-2013,148,1,5,1,1,5,5
5895,AW00016894,Abigail Walker,51,50 and above,New,07-03-2013,158,1,1764,3,3,1764,1764
3420,AW00014419,Abigail Ward,68,50 and above,New,16-07-2013,153,2,3371,4,4,1685.5,421.375
12662,AW00023661,Abigail Washington,48,40-49,New,11-09-2013,151,2,3961,4,4,1980.5,360.0909
4867,AW00015866,Abigail White,44,40-49,New,19-11-2013,149,3,146,8,8,48.6667,18.25
5939,AW00016938,Abigail Williams,62,50 and above,Regular,24-12-2013,148,2,3110,3,3,1555,163.6842
10387,AW00021386,Abigail Wood,40,40-49,New,26-12-2013,148,1,540,1,1,540,540
2324,AW00013323,Adam Adams,67,50 and above,New,13-12-2013,148,1,142,2,2,142,142
18136,AW00029135,Adam Allen,56,50 and above,New,22-02-2012,170,1,2182,1,1,2182,2182
1850,AW00012849,Adam Baker,52,50 and above,VIP,22-12-2013,148,2,5888,4,4,2944,235.52
13327,AW00024326,Adam Bryant,50,50 and above,New,17-12-2013,148,1,556,4,4,556,556
16926,AW00027925,Adam Butler,63,50 and above,New,13-11-2013,149,1,39,2,2,39,39
10401,AW00021400,Adam Campbell,41,40-49,New,19-05-2013,155,2,2689,5,5,1344.5,336.125
11275,AW00022274,Adam Chen,55,50 and above,New,21-01-2013,159,1,575,2,2,575,575
3251,AW00014250,Adam Collins,78,50 and above,New,30-08-2013,152,1,31,2,2,31,31
12983,AW00023982,Adam Diaz,66,50 and above,New,06-08-2013,153,1,549,2,2,549,549
13415,AW00024414,Adam Edwards,58,50 and above,New,20-01-2013,159,1,2398,3,3,2398,2398
14821,AW00025820,Adam Evans,41,40-49,New,11-02-2013,158,1,49,3,3,49,49
45,AW00011044,Adam Flores,71,50 and above,VIP,08-11-2013,150,3,6515,7,7,2171.6667,203.5938
9336,AW00020335,Adam Gonzales,58,50 and above,New,23-09-2013,151,1,70,1,1,70,70
3853,AW00014852,Adam Gonzalez,41,40-49,Regular,12-09-2013,151,2,1468,2,2,734,63.8261
2070,AW00013069,Adam Green,46,40-49,Regular,06-04-2013,157,2,2732,3,3,1366,195.1429
7670,AW00018669,Adam Griffin,61,50 and above,New,08-08-2013,153,1,70,1,1,70,70
2682,AW00013681,Adam Hall,46,40-49,New,01-10-2013,151,1,75,3,3,75,75
13029,AW00024028,Adam Hayes,44,40-49,New,23-12-2013,148,1,598,5,5,598,598
6041,AW00017040,Adam Henderson,56,50 and above,New,26-05-2013,155,1,1760,3,3,1760,1760
1198,AW00012197,Adam Hernandez,67,50 and above,New,07-05-2013,156,2,48,3,3,24,16
7741,AW00018740,Adam Hill,62,50 and above,VIP,11-03-2013,157,2,6056,3,3,3028,302.8
13547,AW00024546,Adam Hughes,55,50 and above,New,15-04-2013,156,1,37,3,3,37,37
14096,AW00025095,Adam Jai,47,40-49,New,01-02-2012,171,1,2443,1,1,2443,2443
7634,AW00018633,Adam Jenkins,43,40-49,New,15-10-2013,150,2,2794,6,6,1397,279.4
5933,AW00016932,Adam King,58,50 and above,New,02-09-2013,152,2,14,4,3,7,7
1949,AW00012948,Adam Kumar,50,50 and above,New,14-02-2013,158,1,77,2,2,77,77
2878,AW00013877,Adam Lal,52,50 and above,New,27-02-2013,158,2,3030,4,4,1515,505
5986,AW00016985,Adam Li,49,40-49,New,25-08-2013,152,1,14,2,2,14,14
7869,AW00018868,Adam Long,68,50 and above,New,29-11-2013,149,1,1760,3,3,1760,1760
15350,AW00026349,Adam Lopez,50,50 and above,New,02-04-2013,157,1,27,2,2,27,27
2398,AW00013397,Adam Mitchell,64,50 and above,New,12-11-2013,149,1,2397,6,6,2397,2397
16403,AW00027402,Adam Nelson,70,50 and above,New,21-10-2013,150,1,129,3,3,129,129
7229,AW00018228,Adam Parker,60,50 and above,New,04-10-2013,151,1,1710,2,2,1710,1710
8697,AW00019696,Adam Patterson,58,50 and above,New,02-06-2013,155,1,597,4,4,597,597
7171,AW00018170,Adam Perez,69,50 and above,New,08-03-2013,158,1,40,2,2,40,40
3651,AW00014650,Adam Perry,60,50 and above,Regular,20-08-2013,152,2,1538,3,3,769,61.52
11749,AW00022748,Adam Phillips,74,50 and above,Regular,27-12-2013,148,2,4188,4,4,2094,144.4138
12424,AW00023423,Adam Powell,47,40-49,New,04-07-2013,154,2,3937,3,3,1968.5,357.9091
942,AW00011941,Adam Roberts,43,40-49,New,02-11-2013,150,2,109,5,5,54.5,54.5
100,AW00011099,Adam Ross,59,50 and above,VIP,01-07-2013,154,3,8216,9,8,2738.6667,316
6428,AW00017427,Adam Russell,52,50 and above,New,24-11-2013,149,1,2372,3,3,2372,2372
4864,AW00015863,Adam Scott,47,40-49,New,14-07-2013,153,3,243,9,8,81,81
17497,AW00028496,Adam Shan,54,50 and above,New,10-08-2013,152,1,70,1,1,70,70
4434,AW00015433,Adam Sharma,42,40-49,Regular,01-12-2013,149,2,1622,3,3,811,95.4118
14328,AW00025327,Adam Simmons,45,40-49,New,21-06-2013,154,1,5,1,1,5,5
5110,AW00016109,Adam Turner,56,50 and above,New,25-10-2013,150,1,549,2,2,549,549
10341,AW00021340,Adam Wang,83,50 and above,New,09-05-2013,156,1,23,3,3,23,23
14438,AW00025437,Adam Washington,54,50 and above,New,24-12-2013,148,1,14,2,2,14,14
6526,AW00017525,Adam Wright,62,50 and above,New,18-08-2013,152,1,5,1,1,5,5
1985,AW00012984,Adam Young,62,50 and above,New,29-10-2013,150,4,200,11,10,50,25
5805,AW00016804,Adam Zhang,69,50 and above,New,15-01-2013,159,1,1728,3,3,1728,1728
10813,AW00021812,Adrian Bailey,68,50 and above,New,13-11-2013,149,1,1155,2,2,1155,1155
875,AW00011874,Adrian Bell,48,40-49,New,18-01-2014,147,2,72,5,5,36,14.4
12077,AW00023076,Adrian Brooks,79,50 and above,New,25-12-2013,148,1,30,1,1,30,30
16397,AW00027396,Adrian Cook,77,50 and above,New,15-08-2013,152,1,89,3,3,89,89
4006,AW00015005,Adrian Cooper,42,40-49,Regular,12-10-2013,150,2,1503,3,3,751.5,71.5714
9444,AW00020443,Adrian Cox,44,40-49,New,04-10-2013,151,1,39,3,3,39,39
5479,AW00016478,Adrian Gray,43,40-49,New,12-10-2013,150,1,2386,5,5,2386,2386
1974,AW00012973,Adrian Howard,48,40-49,New,24-12-2013,148,2,84,4,4,42,42
14341,AW00025340,Adrian James,64,50 and above,New,18-11-2013,149,1,5,1,1,5,5
3918,AW00014917,Adrian Morgan,57,50 and above,New,08-07-2013,154,1,64,3,3,64,64
4093,AW00015092,Adrian Morris,66,50 and above,New,18-04-2013,156,1,37,2,2,37,37
10237,AW00021236,Adrian Peterson,45,40-49,New,25-08-2013,152,1,78,4,4,78,78
1153,AW00012152,Adrian Ramirez,51,50 and above,VIP,07-03-2013,158,2,5937,5,5,2968.5,371.0625
2985,AW00013984,Adrian Richardson,41,40-49,New,09-03-2013,158,2,3282,3,3,1641,1094
14340,AW00025339,Adrian Rivera,61,50 and above,New,19-03-2013,157,1,1224,2,2,1224,1224
2180,AW00013179,Adrian Sanchez,78,50 and above,New,13-12-2013,148,4,190,10,9,47.5,27.1429
8284,AW00019283,Adrian Sanders,62,50 and above,Regular,22-11-2013,149,2,2764,4,4,1382,230.3333
230,AW00011229,Adrian Stewart,68,50 and above,New,25-01-2014,147,2,81,5,5,40.5,16.2
8535,AW00019534,Adrian Torres,53,50 and above,New,07-02-2013,159,1,1179,3,3,1179,1179
12788,AW00023787,Adrian Ward,66,50 and above,New,25-03-2013,157,1,72,3,3,72,72
2642,AW00013641,Adrian Watson,50,50 and above,New,07-06-2013,155,2,144,6,6,72,72
9872,AW00020871,Adriana Arthur,46,40-49,New,31-03-2013,157,1,79,4,4,79,79
3182,AW00014181,Adriana Chandra,73,50 and above,VIP,28-06-2013,154,3,8326,5,5,2775.3333,378.4545
12501,AW00023500,Adriana Garcia,84,50 and above,New,03-06-2013,155,1,35,2,2,35,35
1301,AW00012300,Adriana Gonzalez,74,50 and above,VIP,17-10-2013,150,5,13242,10,10,2648.4,472.9286
11706,AW00022705,Adriana Kapoor,44,40-49,New,11-02-2013,158,1,39,2,2,39,39
1003,AW00012002,Adriana Lopez,56,50 and above,VIP,03-08-2013,153,3,8145,6,6,2715,407.25
1276,AW00012275,Adriana Madan,44,40-49,Regular,30-07-2013,153,2,4435,5,5,2217.5,369.5833
8146,AW00019145,Adriana Malhotra,55,50 and above,New,20-09-2013,151,1,134,2,2,134,134
4458,AW00015457,Adriana Martinez,79,50 and above,Regular,17-09-2013,151,2,2782,3,3,1391,139.1
1859,AW00012858,Adriana Mehta,58,50 and above,New,19-11-2013,149,2,4393,3,2,2196.5,399.3636
18442,AW00029441,Adriana Patel,84,50 and above,New,25-12-2013,148,1,69,3,3,69,69
3763,AW00014762,Adriana Perez,62,50 and above,New,27-06-2013,154,1,5,1,1,5,5
9051,AW00020050,Adriana Prasad,48,40-49,New,01-02-2013,159,1,59,2,2,59,59
18437,AW00029436,Adriana Raman,59,50 and above,New,30-04-2013,156,1,29,1,1,29,29
10676,AW00021675,Adriana Rana,49,40-49,New,15-01-2014,147,1,99,4,4,99,99
13564,AW00024563,Adriana Rodriguez,66,50 and above,New,26-07-2013,153,1,6,2,2,6,6
5406,AW00016405,Adriana Sai,53,50 and above,New,13-02-2013,158,2,3262,3,3,1631,296.5455
16909,AW00027908,Adriana Sanchez,44,40-49,New,28-05-2013,155,1,786,3,3,786,786
4147,AW00015146,Adriana Sara,49,40-49,New,13-07-2013,153,2,162,6,6,81,162
7703,AW00018702,Adriana Smith,52,50 and above,VIP,25-02-2013,158,2,5333,3,3,2666.5,280.6842
12425,AW00023424,Adriana Subram,42,40-49,New,18-04-2013,156,1,29,2,2,29,29
7464,AW00018463,Adriana Suri,68,50 and above,Regular,02-12-2013,149,2,4725,4,4,2362.5,162.931
15984,AW00026983,Adriana Vance,47,40-49,New,27-12-2013,148,1,1745,3,3,1745,1745
6068,AW00017067,Adrienne Alvarez,50,50 and above,New,21-12-2013,148,2,114,4,4,57,38
7133,AW00018132,Adrienne Blanco,64,50 and above,Regular,09-09-2013,152,2,3034,4,4,1517,131.913
12393,AW00023392,Adrienne Dominguez,48,40-49,New,29-08-2013,152,1,554,3,3,554,554
3954,AW00014953,Adrienne Gill,57,50 and above,New,22-03-2013,157,2,203,5,5,101.5,203
921,AW00011920,Adrienne Gomez,51,50 and above,VIP,11-12-2013,148,3,8156,7,7,2718.6667,313.6923
7907,AW00018906,Adrienne Gutierrez,68,50 and above,Regular,29-12-2012,160,2,4217,6,6,2108.5,248.0588
11669,AW00022668,Adrienne Hernandez,48,40-49,New,16-01-2013,159,1,1174,2,2,1174,1174
13513,AW00024512,Adrienne Jiménez,44,40-49,New,13-07-2013,153,1,33,1,1,33,33
8953,AW00019952,Adrienne Martin,45,40-49,New,09-12-2013,149,2,39,4,4,19.5,4.3333
12628,AW00023627,Adrienne Navarro,65,50 and above,New,08-09-2013,152,1,39,2,2,39,39
11517,AW00022516,Adrienne Ortega,41,40-49,New,13-06-2013,154,1,5,1,1,5,5
17217,AW00028216,Adrienne Ramos,53,50 and above,New,02-03-2013,158,1,7,2,2,7,7
2524,AW00013523,Adrienne Ruiz,44,40-49,New,26-06-2013,154,2,67,4,4,33.5,67
5299,AW00016298,Adrienne Sanz,57,50 and above,VIP,01-10-2013,151,3,7001,9,9,2333.6667,437.5625
4085,AW00015084,Adrienne Serrano,45,40-49,VIP,27-07-2013,153,3,7000,7,7,2333.3333,388.8889
13560,AW00024559,Adrienne Suarez,67,50 and above,New,30-09-2013,151,1,6,2,2,6,6
483,AW00011482,Adrienne Torres,48,40-49,VIP,10-09-2013,151,3,8143,5,5,2714.3333,339.2917
6597,AW00017596,Adrienne Vazquez,54,50 and above,New,13-08-2013,152,1,1751,2,2,1751,1751
6388,AW00017387,Aidan Alexander,42,40-49,New,03-04-2013,157,3,148,10,9,49.3333,148
10655,AW00021654,Aidan Barnes,56,50 and above,New,16-03-2013,157,1,604,4,4,604,604
7999,AW00018998,Aidan Bennett,73,50 and above,New,06-12-2013,149,1,1785,4,4,1785,1785
4365,AW00015364,Aidan Bryant,55,50 and above,Regular,06-08-2013,153,2,3184,5,5,1592,212.2667
3491,AW00014490,Aidan Butler,61,50 and above,New,04-12-2013,149,1,40,2,2,40,40
9078,AW00020077,Aidan Coleman,67,50 and above,New,01-11-2013,150,1,633,5,5,633,633
12847,AW00023846,Aidan Diaz,51,50 and above,Regular,27-09-2013,151,2,4828,3,3,2414,209.913
5887,AW00016886,Aidan Flores,66,50 and above,New,04-02-2013,159,1,1730,3,3,1730,1730
15446,AW00026445,Aidan Foster,50,50 and above,Regular,25-11-2013,149,2,1938,3,3,969,107.6667
3110,AW00014109,Aidan Gonzales,46,40-49,Regular,15-08-2013,152,2,2701,2,2,1350.5,180.0667
12718,AW00023717,Aidan Griffin,72,50 and above,New,26-05-2013,155,1,30,1,1,30,30
14190,AW00025189,Aidan Hayes,73,50 and above,New,01-01-2014,148,1,153,2,2,153,153
17172,AW00028171,Aidan Henderson,53,50 and above,New,27-03-2011,181,1,3578,1,1,3578,3578
17859,AW00028858,Aidan Hughes,49,40-49,New,07-06-2013,155,1,13,2,2,13,13
12031,AW00023030,Aidan Jenkins,59,50 and above,New,30-08-2013,152,1,30,1,1,30,30
8882,AW00019881,Aidan Long,70,50 and above,New,29-03-2013,157,1,79,2,2,79,79
12045,AW00023044,Aidan Patterson,66,50 and above,New,09-04-2013,157,1,37,3,3,37,37
